created_at,final_price,id,is_salable,name,price,qty,sku,status,visibility,website_ids,rating,reviews_count,views,sold,Discount,Percentages
11/06/2017 14:43,90,491,TRUE,Gau Naturals Garam masala powder 100gms,90,0,Gau Naturals Garam masala powder 100gms,1,4,[1],70,2,19,0,0,0
11/06/2017 14:44,199,492,TRUE,"INLIFE Natural Papaya Fairness Cream 100 gm, Moisturizer For Both Men and Women",199,0,492,1,4,[1],60,1,9,0,0,0
11/06/2017 14:45,199,493,TRUE,INLIFE  Natural Saffron Fairness Cream 100 gm For Blemishes Dark Circles & Spots,199,0,493,1,4,[1],93,6,14,0,0,0
11/06/2017 14:48,135,494,TRUE,Gau Naturals Dhaniya powder 200gms,135,0,Gau Naturals Dhaniya powder 200gms,1,4,[1],60,1,17,1,0,5.882352941
11/06/2017 15:07,135,498,TRUE,Gau Naturals Toordal powder 200gms,135,0,Gau Naturals Toordal powder 200gms,1,4,[1],60,1,27,0,0,0
11/06/2017 15:07,60,499,TRUE,Akshaya's Pancha gavya shampoo 100ml,60,0,Akshaya's Pancha gavya shampoo 100ml,1,4,[1],100,1,27,0,0,0
11/06/2017 15:08,90,502,TRUE,Gau Naturals Sambar powder 100gms,90,0,Gau Naturals Sambar powder 100gms,1,4,[1],60,1,21,0,0,0
11/06/2017 15:11,45,503,TRUE,Akshaya's Aloe vera soap 75gms,45,0,Akshaya's Aloe vera soap 75gms,1,4,[1],60,1,22,5,0,22.72727273
11/06/2017 15:12,45,504,TRUE,Akshaya's Herbal soap 75gms,45,0,Akshaya's Herbal soap 75gms,1,4,[1],80,1,15,0,0,0
11/06/2017 15:13,90,505,TRUE,Gau Naturals Aswagandha chutney powder 90gms,90,0,Gau Naturals Aswagandha chutney powder 90gms,1,4,[1],80,1,25,1,0,4
11/06/2017 15:14,75,506,TRUE,Akshaya's Multani mitti premium soap 125gms,75,0,Akshaya's Multani mitti premium soap 125gms,1,4,[1],80,2,33,0,0,0
11/06/2017 15:16,1620,507,TRUE,INLIFE Whey Protein Powder 1 lbs(Vanilla Flavour) Body Building Supplement-454gm,1620,0,507,1,4,[1],60,1,3,0,0,0
11/06/2017 15:16,45,508,TRUE,Akshaya's Neem Tulasi soap 75gms,45,0,Akshaya's Neem Tulasi soap 75gms,1,4,[1],70,2,31,4,0,12.90322581
11/06/2017 15:20,6300,509,TRUE,INLIFE Whey Protein Powder 5 lbs (Coffee Flavor) Body Building Supplement-2.27kg ,6300,0,509,1,4,[1],80,1,4,0,0,0
11/06/2017 15:21,99,510,TRUE,Akshaya's Tulasi ark 500ml,99,0,Akshaya's Tulasi ark 500ml,1,4,[1],93,3,102,11,0,10.78431373
11/06/2017 15:22,6300,512,TRUE,INLIFE Whey Protein Powder 5 lbs (Cookie and Cream Flavor) Body Building Supplement-2.27kg,6300,0,512,1,4,[1],100,1,4,0,0,0
11/06/2017 15:22,45,513,TRUE,Gau Naturals Surabhi Hand made soap 100gms,45,0,Gau Naturals Surabhi Hand made soap 100gms,1,4,[1],60,1,7,0,0,0
11/06/2017 15:25,3150,514,TRUE,INLIFE Whey Protein Powder 2 lbs  (Mango Flavour) Body Building Supplement-908gm,3150,0,514,1,4,[1],100,1,7,0,0,0
11/06/2017 15:27,6300,515,TRUE,INLIFE Whey Protein Powder 5 lbs (Mango Flavor) Body Building Supplement -2.27kg,6300,0,515,1,4,[1],100,1,3,0,0,0
11/06/2017 15:27,75,516,TRUE,Gau Naturals Netranajan kajal - 3gms,75,0,Gau Naturals Netranajan kajal - 3gms,1,4,[1],100,1,31,3,0,9.677419355
11/06/2017 15:29,45,517,TRUE,Akshaya's Multan mitti soap 100gms,45,0,Akshaya's Multan mitti soap 100gms,1,4,[1],60,1,19,1,0,5.263157895
11/06/2017 15:32,75,518,TRUE,Akshaya's Pancha gavya premium soap 125gms,75,0,Akshaya's Pancha gavya premium soap 125gms,1,4,[1],100,1,19,2,0,10.52631579
11/06/2017 15:34,849,519,TRUE,"INLIFE Safed Musli Extract, 500mg (60 Vegetarian Capsules) For Strength and Stamina",849,0,519,1,4,[1],100,1,4,0,0,0
11/06/2017 15:35,45,520,TRUE,Akshaya's Pancha gavya soap new 75gms,45,0,Akshaya's Pancha gavya soap new 75gms,1,4,[1],60,1,25,0,0,0
11/06/2017 15:36,849,521,TRUE,INLIFE Shilajit Extract (Fulvic Acid > 3%) 500mg (60 Vegetarian Capsules) For Stamina and Vitality,849,0,521,1,4,[1],100,2,6,0,0,0
11/06/2017 15:37,75,522,TRUE,Dhampure Bura Sugar 500 gm,75,0,Dhampure Bura Sugar 500 gm,1,4,[1],60,1,3,0,0,0
11/06/2017 15:39,3150,523,TRUE,INLIFE Whey Protein Powder 2 lbs  (Strawberry Flavour) Body Building Supplement-908gm,3150,0,523,1,4,[1],60,1,5,0,0,0
11/06/2017 15:42,6300,524,TRUE,INLIFE Whey Protein Powder 5 lbs (Strawberry Flavor) Body Building Supplement -2.27kg,6300,0,524,1,4,[1],100,1,5,0,0,0
11/06/2017 15:43,130,525,TRUE,Dhampure Demerara Sugar 1000 gm,130,0,Dhampure Demerara Sugar 1000 gm,1,4,[1],90,2,13,0,0,0
11/06/2017 15:46,70,526,TRUE,Dhampure Cinnamon Cubes 500 gm,70,0,Dhampure Cinnamon Cubes 500 gm,1,4,[1],100,1,18,0,0,0
11/06/2017 15:47,499,527,TRUE,"INLIFE Tribulus Terrestris 40% Saponins, 500mg (Gokshura) 60 Vegetarian Capsules",499,0,527,1,4,[1],60,1,4,0,0,0
11/06/2017 15:48,200,528,TRUE,Dhampure Golden Syrup 735 Ml,200,0,Dhampure Golden Syrup 735 Ml,1,4,[1],100,1,17,0,0,0
11/06/2017 15:50,3150,529,TRUE,INLIFE Whey Protein Powder 2 lbs  (Vanilla Flavour) Body Building Supplement-908gm,3150,0,529,1,4,[1],100,1,5,0,0,0
11/06/2017 15:54,110,531,TRUE,Dhampure Organic jaggery Powder 700 gm,110,0,Dhampure Organic jaggery Powder 700 gm,1,4,[1],80,1,20,0,0,0
11/06/2017 15:55,1620,532,TRUE,INLIFE Whey Protein Powder 1 lbs(Cookie and Cream Flavour) Body Building Supplement-454gm,1620,0,532,1,4,[1],80,1,5,0,0,0
11/06/2017 15:59,80,534,TRUE,Dhampure Organic Brown Sugar 500 gm,80,0,Dhampure Organic Brown Sugar 500 gm,1,4,[1],80,1,23,1,0,4.347826087
11/06/2017 16:04,3150,535,TRUE,INLIFE Whey Protein Powder 2 lbs  (Cookie and Cream Flavour) Body Building Supplement-908gm,3150,0,535,1,4,[1],60,1,3,0,0,0
11/06/2017 16:04,75,536,TRUE,Dhampure Organic White Sugar 500 gm,75,0,Dhampure Organic White Sugar 500 gm,1,4,[1],80,1,27,0,0,0
11/06/2017 16:05,3150,537,TRUE,INLIFE Whey Protein Powder 2 lbs  (Coffee Flavour) Body Building Supplement-908gm,3150,0,537,1,4,[1],60,1,5,0,0,0
11/06/2017 16:08,70,538,TRUE,Dhampure Demerara Sugar 500 gm,70,0,Dhampure Demerara Sugar 500 gm,1,4,[1],60,1,25,0,0,0
11/06/2017 16:09,6300,539,TRUE,INLIFE Whey Protein Powder 5 lbs (Chocolate Flavor) Body Building Supplement-2.27kg,6300,0,539,1,4,[1],80,1,4,0,0,0
11/06/2017 16:13,65,540,TRUE,Dhampure Candy Sugar 500 gm,65,0,Dhampure Candy Sugar 500 gm,1,4,[1],80,2,23,2,0,8.695652174
11/06/2017 16:14,1620,541,TRUE,INLIFE Whey Protein Powder 1 lbs(Chocolate Flavour) Body Building Supplement-454gm,1620,0,541,1,4,[1],100,1,4,0,0,0
11/06/2017 16:15,70,542,TRUE,Dhampure Coffee Crystal 500 gm,70,0,Dhampure Coffee Crystal 500 gm,1,4,[1],80,1,25,0,0,0
11/06/2017 16:16,1620,543,TRUE,INLIFE Whey Protein Powder 1 lbs(Mango Flavour) Body Building Supplement-454gm,1620,0,543,1,4,[1],80,2,4,0,0,0
11/06/2017 16:18,3150,544,TRUE,INLIFE Whey Protein Powder 2 lbs  (Chocolate Flavour) Body Building Supplement-908gm,3150,0,544,1,4,[1],60,1,5,0,0,0
11/06/2017 16:18,30,545,TRUE,Gou Ganga Mosquito coils,30,0,Gou Ganga Mosquito coils,1,4,[1],60,1,18,0,0,0
11/06/2017 16:19,180,546,TRUE,Dhampure Golden Syrup Straws 400 gm,180,0,Dhampure Golden Syrup Straws 400 gm,1,4,[1],60,1,19,0,0,0
11/06/2017 16:21,50,547,TRUE,Gou Ganga Jumbo Mosquito coil -10pcs,50,0,Gou Ganga Jumbo Mosquito coil -10pcs,1,4,[1],80,2,23,1,0,4.347826087
11/06/2017 16:23,1620,548,TRUE,INLIFE Whey Protein Powder 1 lbs(Strawberry Flavour) Body Building Supplement-454gm,1620,0,548,1,4,[1],60,1,3,0,0,0
11/06/2017 16:29,300,549,TRUE,"INLIFE™ Flaxseed Oil Omega 369 fatty acids Supplement, 500mg (60 Capsules)",300,0,549,1,4,[1],80,1,14,1,0,7.142857143
11/06/2017 16:30,70,550,TRUE,Dhampure Muscavado Sugar 500 gm,70,0,Dhampure Muscavado Sugar 500 gm,1,4,[1],100,1,26,0,0,0
11/06/2017 16:31,540,551,TRUE,"INLIFE Iron Folic Acid, 60 Tablets For Prenatal Health Of Women",540,0,"INLIFE Iron Folic Acid, 60 Tablets For Prenatal Health Of Women",1,4,[1],40,4,18,0,0,0
11/06/2017 16:32,50,552,TRUE,Green Farm Jaggery powder 400gms,50,0,Green Farm Jaggery powder 400gms,1,4,[1],100,1,26,2,0,7.692307692
11/06/2017 16:33,160,553,TRUE,Dhampure Swizzle Stick 80 gm,160,0,Dhampure Swizzle Stick 80 gm,1,4,[1],60,1,26,0,0,0
11/06/2017 16:35,840,554,TRUE,"INLIFE Coenzyme Q10, 100mg 30 Chewable Tablets Fertility Supplement For Male Female",840,0,554,1,4,[1],100,1,3,0,0,0
11/06/2017 16:35,200,555,TRUE,Dhampure Liquid Jaggery 735 Ml,200,0,Dhampure Liquid Jaggery 735 Ml,1,4,[1],80,1,20,0,0,0
11/06/2017 16:37,600,556,TRUE,"NLIFE Vitamin B12 Alpha lipoic acid (ALA),60 Tablets For Cognitive Memory Health",600,0,556,1,4,[1],80,1,6,0,0,0
11/06/2017 16:45,720,557,TRUE,"INLIFE Sweet Almond Extra Virgin Cold Pressed Oil, 60 Veg. Caps For Pigmentation",720,0,557,1,4,[1],60,1,11,0,0,0
11/06/2017 16:45,80,558,TRUE,Dhampure Sugar Sachets 500 gm,80,0,Dhampure Sugar Sachets 500 gm,1,4,[1],80,1,18,0,0,0
11/06/2017 16:46,789,559,TRUE,INLIFE Alpha Lipoic Acid 300 mg (60 Vegetarian Capsules),789,0,INLIFE Alpha Lipoic Acid 300 mg (60 Vegetarian Capsules),1,4,[1],80,1,16,0,0,0
11/06/2017 16:47,70,560,TRUE,Dhampure White Sugar Cubes 500 gm,70,0,Dhampure White Sugar Cubes 500 gm,1,4,[1],60,1,24,0,0,0
11/06/2017 16:49,900,561,TRUE,"INLIFE Natural Black Seed Extra Virgin Cold Pressed Oil, 500 mg 60 Veg Capsules",900,0,561,1,4,[1],60,1,8,0,0,0
11/06/2017 16:51,1080,562,TRUE,"INLIFE Cow Colostrum Supplement, 500mg (60 Vegetarian Capsules)",1080,0,"INLIFE Cow Colostrum Supplement, 500mg (60 Vegetarian Capsules)",1,4,[1],100,1,11,0,0,0
11/06/2017 16:52,990,563,TRUE,INLIFE Fenugreek Seed Oil (60 Vegetarian Capsules) Sugar Balance and Womens Health,990,0,563,1,4,[1],60,1,12,0,0,0
11/06/2017 16:55,999,564,TRUE,"INLIFE Green Coffee Bean Extract (50% Chlorogenic Acid) 800mg per Serving, 60 Vegetarian Capsules",999,0,564,1,4,[1],60,1,14,0,0,0
11/06/2017 16:58,699,565,TRUE,"INLIFE Green Tea Extract (With 70% Polyphenols) 500mg, 60 Vegetarian Capsules",699,0,565,1,4,[1],80,1,18,0,0,0
11/06/2017 16:59,7,566,TRUE,Health Sutra Jowar porridge tangy tomato 35gms,10,0,Health Sutra Jowar porridge tangy tomato 35gms,1,4,[1],60,2,20,1,30,5
11/06/2017 17:00,100,567,TRUE,Dhampure Icing Sugar 1000 gm,100,0,Dhampure Icing Sugar 1000 gm,1,4,[1],60,1,15,0,0,0
11/06/2017 17:01,690,568,TRUE,"INLIFE Gymnema Sylvestre (Gymnemic Acid > 25%) 500mg, 60 Vegetarian Capsules",690,0,568,1,4,[1],60,1,13,0,0,0
11/06/2017 17:02,10,569,TRUE,Health Sutra Jowar porridge classic carrot,10,0,Health Sutra Jowar porridge classic carrot,1,4,[1],60,2,34,0,0,0
11/06/2017 17:03,100,572,TRUE,Dhampure Caster Sugar 1000 gm,100,0,Dhampure Caster Sugar 1000 gm,1,4,[1],100,1,21,0,0,0
11/06/2017 17:03,1500,573,TRUE,INLFIE Krill Oil Phospholipid Omega 3 with Astaxanthin 500mg - 30 Capsules,1500,0,573,1,4,[1],100,1,15,0,0,0
11/06/2017 17:08,899,574,TRUE,"INLIFE L-Arginine 1000mg (60 Vegetarian Capsules) Per Serving, Nitric Oxide Precursor",899,0,574,1,4,[1],60,1,11,0,0,0
11/06/2017 17:09,1199,575,TRUE,"INLIFE L-Carnitine L-Tartarate, 500mg (60 Vegetarian Capsules)",1199,0,"INLIFE L-Carnitine L-Tartarate, 500mg (60 Vegetarian Capsules)",1,4,[1],80,1,14,0,0,0
11/06/2017 17:11,699,576,TRUE,"INLIFE Neem Seed Oil Supplement, 500mg (60 Vegetarian Capsules)",699,0,"INLIFE Neem Seed Oil Supplement, 500mg (60 Vegetarian Capsules)",1,4,[1],80,1,15,0,0,0
11/06/2017 17:11,40,577,TRUE,Health Sutra Jowar rawa (upma/idli) 400gms,40,0,Health Sutra Jowar rawa (upma/idli) 400gms,1,4,[1],80,2,27,0,0,0
11/06/2017 17:11,90,578,TRUE,Honest Enterprises Coconut Hair Oil 200ml,90,0,Honest Enterprises Coconut Hair Oil 200ml,1,4,[1],60,1,15,1,0,6.666666667
11/06/2017 17:12,600,579,TRUE,"INLIFE Prebiotics & Probiotics,60 Capsules, Digestion Acidity Supplement",600,0,579,1,4,[1],80,1,12,0,0,0
11/06/2017 17:13,255,580,TRUE,Being Desi Unrefined Sesame Oil 500ml,255,0,Being Desi Unrefined Sesame Oil 500ml,1,4,[1],80,1,21,1,0,4.761904762
11/06/2017 17:15,1299,581,TRUE,"INLIFE Curcumin Advanced (95% Curcuminoids) 500mg, Turmeric Extract 60 Vegetarian Capsules",1299,0,581,1,4,[1],80,1,14,0,0,0
11/06/2017 17:16,300,582,TRUE,Anamalaiyar's Ramana Sambrani DhupCone 12 pieces,300,0,Anamalaiyar's Ramana Sambrani DhupCone 12 pieces,1,4,[1],60,1,16,2,0,12.5
11/06/2017 17:17,1260,583,TRUE,"INLIFE Seabuckthorn Seed Oil (500mg) Omega 3,6,7,9 - 30 Vegetarian Capsules Supplement",1260,0,583,1,4,[1],80,1,15,1,0,6.666666667
11/06/2017 17:21,20,584,TRUE,Health Sutra Jowar pepper pops 35gms,20,0,Health Sutra Jowar pepper pops 35gms,1,4,[1],60,2,24,0,0,0
11/06/2017 17:22,1800,585,TRUE,"INLIFE Tocotrienols & Wheat Germ Oil With Tocopehrols Vitamin E, 30 Capsules ",1800,0,585,1,4,[1],100,1,20,0,0,0
11/06/2017 17:23,20,586,TRUE,Health Sutra Jowar salted pops 35gms,20,0,Health Sutra Jowar salted pops 35gms,1,4,[1],50,2,15,0,0,0
11/06/2017 17:24,148,587,TRUE,Mosquito Repelent Spray 100ml,148,0,Mosquito Repelent Spray 100ml,1,4,[1],60,1,25,0,0,0
11/06/2017 17:28,78,588,TRUE,Aloe Refreshing and Cleansing Face Wipes 30nos,78,0,Aloe Refreshing and Cleansing Face Wipes 30nos,1,4,[1],100,1,20,0,0,0
11/06/2017 17:29,40,589,TRUE,Health Sutra Yellow jowar flakes 250gms,40,0,Health Sutra Yellow jowar flakes 250gms,1,4,[1],60,1,25,0,0,0
11/06/2017 17:40,40,590,TRUE,Health Sutra Ragi flakes 250gms,40,0,Health Sutra Ragi flakes 250gms,1,4,[1],100,2,18,0,0,0
11/06/2017 17:46,40,591,TRUE,Health Sutra Bajra flakes 250gms,40,0,Health Sutra Bajra flakes 250gms,1,4,[1],90,2,16,0,0,0
11/06/2017 17:47,40,592,TRUE,Health Sutra Barley flakes 150gms,40,0,Health Sutra Barley flakes 150gms,1,4,[1],80,1,16,0,0,0
11/06/2017 17:54,40,593,TRUE,Health Sutra Ragi biscuits 100gms,40,0,Health Sutra Ragi biscuits 100gms,1,4,[1],80,2,25,18,0,72
11/06/2017 18:06,360,594,TRUE,Eco Remedies Anjaneya graviola fruit drink 500ml,360,0,Eco Remedies Anjaneya graviola fruit drink 500ml,1,4,[1],100,1,16,0,0,0
12/06/2017 14:45,145,597,TRUE,Kairali Prabhanjanavimardanam kuzhampu -450 ml,145,0,Kairali Prabhanjanavimardanam kuzhampu -450 ml,1,4,[1],80,1,19,0,0,0
12/06/2017 15:19,625,598,TRUE,Kairali Arogya Tea 100gms,625,0,Kairali Arogya Tea 100gms,1,4,[1],60,2,11,0,0,0
12/06/2017 16:03,645,599,TRUE,Kairali Taahira Tea - 100% Caffeine free tea- For Strengthening & Rejuvenating (100 grams),645,0,599,1,4,[1],80,1,9,0,0,0
12/06/2017 16:07,615,600,TRUE,Kairali Yuvan Tea - 100% Caffeine free tea- For Healing & Detoxifying (100 grams),615,0,600,1,4,[1],90,2,26,0,0,0
